SN,जिल्ला,पालिका,विजयी,विजयी-दल,मत,दोस्रो,दोस्रो-दल,मत2,मतान्तर,Conc1,Conc2
66,कपिलवस्तु,शुद्धोधन गाउँपालिका,निसार अहमद मुसलमान,स्वतन्त्र,"1,837",कमलेश शरण चौधरी,स्वतन्त्र,"1,763",74,स्वतन्त्र : निसार अहमद मुसलमान (1837),स्वतन्त्र : कमलेश शरण चौधरी (1763)
67,बाँके,जानकी गाउँपालिका,राम निवास यादव,नेकपा एमाले,"3,083",छब्बन खाँ,नेपाली काँग्रेस,"3,009",74,नेकपा एमाले : राम निवास यादव (3083),नेपाली काँग्रेस : छब्बन खाँ (3009)
68,धनुषा,बटेश्वर गाउँपालिका,डम्वर बहादुर राउत क्षेत्री,नेकपा एमाले,"2,377",राम अशिष महतो,नेपाली काँग्रेस,"2,303",74,नेकपा एमाले : डम्वर बहादुर राउत क्षेत्री (2377),नेपाली काँग्रेस : राम अशिष महतो (2303)
69,ओखलढुंगा,लिखु गाउँपालिका,गोविन्द बहादुर पौडेल,नेकपा एमाले,"3,010",अशोक कुमार कार्की,नेपाली काँग्रेस,"2,935",75,नेकपा एमाले : गोविन्द बहादुर पौडेल (3010),नेपाली काँग्रेस : अशोक कुमार कार्की (2935)
70,स्याङ्जा,अर्जुन चौपारी गाउँपालिका,दिर्घ नारायण अर्याल,नेपाली काँग्रेस,"3,319",मोहन बहादुर अधिकारी,नेकपा एमाले,"3,241",78,नेपाली काँग्रेस : दिर्घ नारायण अर्याल (3319),नेकपा एमाले : मोहन बहादुर अधिकारी (3241)
71,संखुवासभा,पाँचखपन नगरपालिका,विपीन राई,नेपाली काँग्रेस,"3,409",मान सिंह पोखरेल,नेकपा एमाले,"3,330",79,नेपाली काँग्रेस : विपीन राई (3409),नेकपा एमाले : मान सिंह पोखरेल (3330)
72,बझाङ्ग,जयपृथ्वी नगरपालिका,बिरेन्द्र बहादुर खडका,नेकपा एमाले,"3,040",चेतराज बजाल,नेपाली काँग्रेस,"2,960",80,नेकपा एमाले : बिरेन्द्र बहादुर खडका (3040),नेपाली काँग्रेस : चेतराज बजाल (2960)
73,पर्सा,पटेर्वा सुगौली गाउँपालिका,हरिनारायण चौधरी,नेकपा एमाले,"2,957",दिनेश कुमार चौधरी थारु,नेपाली काँग्रेस,"2,875",82,नेकपा एमाले : हरिनारायण चौधरी (2957),नेपाली काँग्रेस : दिनेश कुमार चौधरी थारु (2875)
74,दाङ,लमही नगरपालिका,कुल बहादुर खत्री क्षेत्री,नेकपा एमाले,"5,152",जोगराज चौधरी,नेपाली काँग्रेस,"5,069",83,नेकपा एमाले : कुल बहादुर खत्री क्षेत्री (5152),नेपाली काँग्रेस : जोगराज चौधरी (5069)
75,बाँके,कोहलपुर नगरपालिका,लुट बहादुर रावत,नेकपा एमाले,"9,007",भानुभक्त भट्टराई,नेपाली काँग्रेस,"8,924",83,नेकपा एमाले : लुट बहादुर रावत (9007),नेपाली काँग्रेस : भानुभक्त भट्टराई (8924)
76,म्याग्दी,मालिका गाउँपालिका,श्री प्रसाद रोका मगर,नेपाली काँग्रेस,"2,706",बेग प्रसाद गर्बुजा,नेकपा एमाले,"2,622",84,नेपाली काँग्रेस : श्री प्रसाद रोका मगर (2706),नेकपा एमाले : बेग प्रसाद गर्बुजा (2622)
77,बैतडी,सुर्नया गाउँपालिका,बीर बहादुर बिष्ट,नेपाली काँग्रेस,"2,361",नरेन्द्र बहादुर बिष्ट,नेकपा एमाले,"2,276",85,नेपाली काँग्रेस : बीर बहादुर बिष्ट (2361),नेकपा एमाले : नरेन्द्र बहादुर बिष्ट (2276)
78,सिराहा,भगवानपुर गाउँपालिका,बेचन प्रसाद यादव,संघीय फोरम,"3,058",उग्र नारायण यादव,नेकपा एमाले,"2,973",85,"संघीय समाजवादी फोरम, नेपाल : बेचन प्रसाद यादव (3058)",नेकपा एमाले : उग्र नारायण यादव (2973)
79,मनाङ्ग,नाशोङ गाउँपालिका,चन्द्र घले,नेपाली काँग्रेस,584,मन बहादुर गुरुङ,नेकपा एमाले,498,86,नेपाली काँग्रेस : चन्द्र घले (584),नेकपा एमाले : मन बहादुर गुरुङ (498)
80,धनुषा,सबैला नगरपालिका,विजय शंकर प्रसाद साह,नेपाली काँग्रेस,"5,200",तेज नारायण यादव,माओवादी केन्द्र,"5,113",87,नेपाली काँग्रेस : विजय शंकर प्रसाद साह (5200),माओवादी केन्द्र : तेज नारायण यादव (5113)
81,दोलखा,मेलुङ गाउँपालिका,नर बहादुर श्रेष्ठ,नेकपा एमाले,"4,475",वर्मा लामा,नेपाली काँग्रेस,"4,386",89,नेकपा एमाले : नर बहादुर श्रेष्ठ (4475),नेपाली काँग्रेस : वर्मा लामा (4386)
82,धनुषा,हंसपुर नगरपालिका,राम ज्ञान मण्‍डल,राष्ट्रिय जनता पार्टी,"3,320",प्रदीप कुमार यादब,नेपाली काँग्रेस,"3,229",91,राष्ट्रिय जनता पार्टी नेपाल : राम ज्ञान मण्‍डल (3320),नेपाली काँग्रेस : प्रदीप कुमार यादब (3229)
83,सल्यान,बनगाड कुपिण्डे नगरपालिका,गोविन्द कुमार पुन,नेकपा एमाले,"5,077",कर्ण बहादुर बुढाथोकी,माओवादी केन्द्र,"4,984",93,नेकपा एमाले : गोविन्द कुमार पुन (5077),माओवादी केन्द्र : कर्ण बहादुर बुढाथोकी (4984)
84,महोत्तरी,साम्सी गाउँपालिका,शेष फारुक,माओवादी केन्द्र,"2,338",राम नाथ यादव,संघीय फोरम,"2,244",94,माओवादी केन्द्र : शेष फारुक (2338),"संघीय समाजवादी फोरम, नेपाल : राम नाथ यादव (2244)"
85,धादिङ्ग,त्रिपुरासुन्दरी गाउँपालिका,शम्भु कुमार थापा,नेकपा एमाले,"4,060",बासुदेव तिमल्सिना,नेपाली काँग्रेस,"3,961",99,नेकपा एमाले : शम्भु कुमार थापा (4060),नेपाली काँग्रेस : बासुदेव तिमल्सिना (3961)
